2026-08-28 16:02:49 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  13.8% of   69.76MiB at  410.03KiB/s ETA 02:30
2026-08-28 16:02:49 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  13.8% of   69.76MiB at  931.39KiB/s ETA 01:06
2026-08-28 16:02:49 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  13.9% of   69.76MiB at    1.90MiB/s ETA 00:31
2026-08-28 16:02:49 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  13.9% of   69.76MiB at    1.11MiB/s ETA 00:54
2026-08-28 16:02:49 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  13.9% of   69.76MiB at    1.32MiB/s ETA 00:45
2026-08-28 16:02:49 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  14.0% of   69.76MiB at    1.85MiB/s ETA 00:32
2026-08-28 16:02:49 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  14.2% of   69.76MiB at    2.49MiB/s ETA 00:24
2026-08-28 16:02:49 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  14.5% of   69.76MiB at    3.40MiB/s ETA 00:17
2026-08-28 16:02:49 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  15.3% of   69.76MiB at    5.02MiB/s ETA 00:11
2026-08-28 16:02:49 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  16.7% of   69.76MiB at    7.55MiB/s ETA 00:07
2026-08-28 16:02:49 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  19.6% of   69.76MiB at   11.73MiB/s ETA 00:04
2026-08-28 16:02:49 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  25.3% of   69.76MiB at   17.00MiB/s ETA 00:03
2026-08-28 16:02:49 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  27.7% of   69.76MiB at   18.99MiB/s ETA 00:02
